INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION,TONE
2413,Muslims come straight out of the Middle East to rule our country.,"Not all Muslims are from the Middle East, like not all Muslims are from Pakistan. And to equate all Muslims with extremists is misleading.",MUSLIMS,V4,Conversational
2423,Who the fuck are you? We are scared to death of Muslims because they want to make us their slaves.,Muslims in Britain have contributed a lot to our economy. They are true innovators in modern Britain.,MUSLIMS,V4,Empathetic
2425,"Muslims have nothing to contribute to our society, they are only an ATM for the world's major problems.","Your word for ""Muslims"" means all people from a religion, whether you like it or not. Which problems are you talking about?",MUSLIMS,V4,Inquisitive
2427,"I am not a racist, but this guy looks a bit like an imam. Maybe he should avoid this town?",Do you have any evidence for the similarity you noticed? And even if he's an imam I don't get why he should avoid this town.,MUSLIMS,V4,Inquisitive
2439,Muslim invaders will conquer Europe. They will rape our women and they will do anything to get their way. Islam is a death cult.,"What do you actually mean by ""Islam is a death cult""? Do you seriously suggest that I should start to worry about what my Muslim neighbour might do?",MUSLIMS,V4,Inquisitive
2440,Islam is a political ideology and an deology of conquest. It has no place in a modern democracy.,The West has been a democracy since the beginning: it has always been about people coming together to make new and better lives for themselves. Islam is welcome too.,MUSLIMS,V4,Empathetic
2441,"Islam is an ideology of conquest, violence and rape.",Islam is an ideology of peaceful coexistence and coexistence of peoples.,MUSLIMS,V4,Confrontational
2443,Muslims have no place in civilised Europe.,"The European Convention on Human Rights guarantees the freedom of religion, article 9.",MUSLIMS,V4,Confrontational
2447,Muslims have no place in civilised Europe. They are incompatible with modern European culture.,Maybe we should take into account that Muslims are not so different from other Europeans.,MUSLIMS,V4,Empathetic
2448,Islam is not about peace. It is a violent religion.,"The problems you are referring to are the result of the spread of violent ideologies. Extremists are responsible, not Islam.",MUSLIMS,V4,Conversational
2456,Islam is a toxic influence in our country and we do not want it here.,I think it is good to speak out when we disagree. What is the toxic influence? I can't see any.,MUSLIMS,V4,Inquisitive
2459,Whoever is to blame for the present problems of our nation should answer for their deeds and I would not be surprised to find out that its the blacks that are solely responsible.,It seems its easier for our society to be divided by people's skin color than to strive for integration and tolerance?.,POC,V4,Inquisitive
2466,Feminism is a destructive ideology that has hurt so many and caused so much harm to our world.,I don't think feminism is a bad idea in itself. That's what people do when they are given the choice to engage in a movement for equality.,WOMEN,V4,Conversational
2467,I don't respect feminists because they don't respect and care for other races.,"Feminism is not a racist ideology. Feminism is about full human rights, and respect for women's dignity.",WOMEN,V4,Confrontational
2471,Feminists are against the interests of the men.,You would be surprised how many feminists are very good at convincing people that changing a misogynistic and violent world is not against the interests of men.,WOMEN,V4,Conversational
2472,Feminists are against the interests of the men.,Feminists are all for equal rights and opportunity. Men's rights are necessary for achieving both.,WOMEN,V4,Confrontational
2484,"Feminism is all about equality. But this does not mean that they are equal to men. Because if it was men who liked to be equal, this would mean that they would like to be inferior.","Women don't like to be ""equal"" for the sake of superiority. Women like to be women, and to be treaten as humans. All humans are equal. Equality is not identity.",WOMEN,V4,Conversational
2485,This isn't about equality. This is about forcing women to to occupy roles in society for which they are not capabable,If we insist on treating people as not equally capable of contributing to society then we are forced to live up to that outdated and unjust system. Instead we should be improving it.,WOMEN,V4,Empathetic
2490,Feminists have destroyed Western civilization.,"Equal rights for women is surely a cornerstone of Western civilisation, rather than its apotheosis?",WOMEN,V4,Inquisitive
2491,Feminists are violent subhuman sex beings.,"Feminist is a term used to describe people who take pride in their gender and desire the ability to have a stable and happy life, without discrimination.",WOMEN,V4,Empathetic
2492,I'm tired of women complaining about men being a threat to women only to turn a blind eye to women threatening men.,Do you think that threat is a problem only when it comes close to you? It is a problem for anybody. Women are standing for their rights as human beings.,WOMEN,V4,Inquisitive
2493,"Women should be confined to the home, to raise the children. Their body exist just for this purpose.",The message to take from your comments is that you find women's bodies repulsive? How about this: think about the lives and the contributions to society that would be lost if you continued to perpetuate this gender inequality.,WOMEN,V4,Inquisitive
2495,"Women have to take care of their little children, they must be not allowed to have a job.","What do you think men would say if they were forced to stay at home with their little children, this is depriving them of their right to work!",WOMEN,V4,Confrontational
2496,Women should not be allowed to work.,"That is a rather extreme view. If a women is not allowed to have a job, then there is gender discrimination at work.",WOMEN,V4,Confrontational
2508,"Transexuals, queer, and so on... just a rabble of faggots.","This is not true. Being gay is not synonymous with being bisexual, pansexual, intersex, transgender, queer, deviant, lesbian, tranny, queermetaphysical, or whatever term you want to use... We should try to respect people for who they are instead.",LGBT+,V5,Conversational
2512,Gays are perverts.,Why do you think it is a crime to be gay? It is a societal disorder to target gays.,LGBT+,V5,Inquisitive
2516,Gay men are a danger to children.,"You know, being gay is not a bad thing. It just means they are different from some other people.",LGBT+,V5,Empathetic
2518,Gay men are a danger to children.,"Homosexuality is not harmful to children. Actually, a growing number of research shows that children raised by same-sex couples are as physically or psychologically healthy, capable, and successful as those raised by opposite-sex couples.",LGBT+,V5,Empathetic
2519,Gays are sick. They should be isolated urgently. They have no place in civilised society.,"Gay people exist, and are loved and valued for who they are. They are human beings with full human rights.",LGBT+,V5,Empathetic
2520,Gays are sick. They should be isolated and isolated soon. They have no place in civilised society.,LGBT+ people exist and are valued for who they are. They are human beings with full human rights.,LGBT+,V5,Confrontational
2524,We must stop immigration.,"In practice, immigrants from many countries integrate very well. They learn the language, the culture and respect the law.",MIGRANTS,V5,Empathetic
2527,Migrants are not welcome here. They are not welcome in the modern European way of life.,"In many respects they have adapted well to our culture, and if some still speak a different language, live in poverty and are under-represented in society it is partly because of our discriminatory attitude.",MIGRANTS,V5,Conversational
2535,Migrants are just happy-go-lucky people with no moral code.,The idea that migrants are merely happy-go-lucky people with no code of their own is just wrong.,MIGRANTS,V5,Confrontational
2544,"Muslim rape our women, we have to stop them now!",How can you say something like that? Maybe you should check if there is any evidence of rape based on religious background before you make any accusations.,MUSLIMS,V5,Inquisitive
2552,The Koran is not about peace. It is a violent book that should not be taught in primary school.,Islam is a religion that has been tested and proven to be about peace. There is no basis for labelling the Koran as a violent book?,MUSLIMS,V5,Inquisitive
2558,Islam is a virus.,The idea that Islam is a disease is just an excuse for people to promote hate against that religion.,MUSLIMS,V5,Confrontational
2563,Islam has no place in a modern democracy like the UK.,I don't think it's appropriate to suggest a religion is alien to our civilisation as that.,MUSLIMS,V5,Confrontational
2564,Muslims are just a bunch of child molesters.,"Child molesters are people who have sexually abused children, and they can be from any religion.",MUSLIMS,V5,Confrontational
2566,Islam is just a death cult.,"Many religions have had profound and positive contributions to our civilisation, and Islam is no exception. What we need instead is to reflect on our own intollerance.",MUSLIMS,V5,Empathetic
2571,The Women's march was a failure: the whole country came out in opposition.,On the contrary: the Women's March was a success. The whole country came out in support. Maybe we have seen two different parades.,WOMEN,V5,Confrontational
2579,"The Jews control the media, Hollywood, the highest offices of government, academia, the highest sports teams, the highest art forms, the highest values. What more could they control?",This is a myth perpetuated by people who do not know anything about history and world culture. We are a country made up of many different cultures and religions. There is no such thing as one controlling the others.,JEWS,V5,Confrontational
2581,"Jews are just like animals, they are incapable of love.","What you are saying is that Jews are incapable of love because they are like animals. You are wrong, Jews are people. I have never heard about a Jewish fish nor a Rabbi rabbit.",JEWS,V5,Confrontational
2582,We do not accept homosexuals.,". A person's personal life should be left to their choice, not the government's.",LGBT+,V5,Confrontational
2589,We do not accept homosexuals.,What do you mean by 'we'? I don't think we are a nation of heterosexuals.,LGBT+,V5,Conversational
2590,"Faggots are not welcome here. The bigger the city, the bigger the ""stay away"" sign we must hang.","I don't know anyone who hates gays, I do know lots of people who are very proudly kind towards the queer community. They are happy with how they treat one another. You are more likely to encounter these open-minded people in places like New York or London.",LGBT+,V5,Conversational
2593,No one should be allowed to accept LGBT people.,"If you don't accept LGBT people, you won't easily find other ways to accept that society is made by diverse people all capable of love.",LGBT+,V5,Confrontational
2599,We should stop migrants from coming in.,Many immigrants come here to work and have a better life. Why do you think we have to stop migration?,MIGRANTS,V5,Inquisitive
2612,"We need to stop immigrants, they are going to cause conflicts in our society.",Why are you sure that new immigrants are incompatible with our society?,MIGRANTS,V5,Inquisitive
2625,Immigrants are a drain on society.,"I don't think you can say a migrant ""drains society"". Maybe the immigrants are just trying to fit in?",MIGRANTS,V5,Conversational
2633,Islam is an ideology of conquest and violence.,"Muslims have contributed with their scientific and technological achievements, which have greatly aided our world. For instance, algorithms.",MUSLIMS,V5,Conversational
2639,Islam is a myth and every Muslim is a potential terrorist.,"I don't see how Islam is a ""terrorist"" religion. Why do you claim so?",MUSLIMS,V5,Inquisitive
2645,Islam is incompatible with any modern state.,"Islam like any other religion, is not incompatible with a modern state.",MUSLIMS,V5,Confrontational
2648,Islam is the worst ideology ever created .. Its teachings have caused great harm and destruction throughout the world.,Do you understand the seriousness of what you are saying? The religion of Islam has also been an enabler of some of the advances of civilisation.,MUSLIMS,V5,Inquisitive
2650,Islam is a perversion of the true meaning of Christianity.,"If Christianity is about love, respect for other people and standing for what is right, and Islam is about love, respect and standing for what is right as well, then there is not much room left for this kind of reasoning.",MUSLIMS,V5,Empathetic
2652,Islam has no place in a modern nation.,"Muslims have coexisted with us for hundreds of years, we have no problem with Muslims living here. Why do you claim so?",MUSLIMS,V5,Inquisitive
2654,All Muslims are incompatible with Western society.,The vast majority of Muslims live in Western societies just fine. Do you have any facts or data that prove otherwise?,MUSLIMS,V5,Inquisitive
2658,"Muslims are not welcome in our country. They are not like us, they cannot coexist with us.","I think we should try to understand different cultures, rather than trying to ban one group of people from our country. On which grounds do you say so?",MUSLIMS,V5,Inquisitive
2659,"All Muslims are incompatible with any Western society, and should be excluded.","Your point is based on a complete misunderstanding of what the word 'compatibility' actually means. Compatibility is about living side by side even if we are not sharing values and beliefs, not about merging them.",MUSLIMS,V5,Confrontational
2660,All Muslims are incompatible with any Western society.,"There is no evidence that Muslim have any incompatibility with Western society. Instead, they are a part of Western society since the beginning.",MUSLIMS,V5,Confrontational
2661,All Muslims are incompatible with the European culture and should be excluded.,"The European Union is a much broader concept. It encompasses a huge range of people, including Muslims.",MUSLIMS,V5,Confrontational
2681,Muslims have nothing to contribute to our society.,"Haven't they contributed a lot to our society, especially in the areas of science, technology, engineering and mathematics.",MUSLIMS,V5,Conversational
2683,Muslims have no place in civilised Europe.,Europeans have always had a lot of Muslim friends and relatives. They have helped make our continent what it is.,MUSLIMS,V5,Conversational
2684,Muslim invaders have infiltrated our countries and are now part of the majority. They are our enemies.,"Of course, Islam is a religion of our countries. But so are Christianity, Buddhism, and Hinduism, and so on. In Europe, Muslim are less than the 6% of the population. Very far from being a majority. Why do you say they are enemies?",MUSLIMS,V5,Inquisitive
2692,Muslims want to replace us.,Muslims do not want to replace other people. What's making you thinking that?,MUSLIMS,V5,Inquisitive
2696,Islam is a disease. It is killing and spreading like a cancer across our continent. We need to eradicate it.,What exactly do you mean by a 'cancer'? Should we be concerned about a disease spreading because of its individual members? There is no relation between religion and cancer.,MUSLIMS,V5,Inquisitive
2708,"Islam is a violent religion, it is founded on hate and violence.",I don't think they are all that hateful. This is what Islam teaches: peace and harmony. Peace is not an attitude. It is something that must be actively put in practice. Islam teaches that all people are created equal. This sounds like a very peaceful bedrock.,MUSLIMS,V5,Empathetic
2711,I don't like Muslims because they are different.,"Don't you like flowers, because they are different? Isn't variety the spice of life?",MUSLIMS,V5,Inquisitive
2724,All Muslims are incompatible with any Western society.,The vast majority of Muslims are peaceful and friendly. How can you say otherwise?,MUSLIMS,V5,Empathetic
2729,All Muslims should be deported.,People from a minority group should not be persecuted for their beliefs.,MUSLIMS,V5,Confrontational
2736,"Muslims are invading us. They say they are our brothers, but they are just a bunch of criminals and terrorists.",Islam's core values are similar to Western values. To say that Islam is ruining Western culture is a complete and total distortion of the truth.,MUSLIMS,V5,Empathetic
2741,All Muslims are incompatible with any Western society.,I am not sure what you are trying to say by incompatible. What do you mean by incompatible?,MUSLIMS,V5,Inquisitive
2743,Muslims have no place in civilised Europe.,"You can't be serious! We are in the heart of Europe, and we have had Muslim people since time immemorial. How can you say that Islam is incompatible with civilised polity?",MUSLIMS,V5,Inquisitive
2745,Muslims are not welcome in our country.,"Muslims have been living here since our inception, and we are proud of that. Why would they be a burden to us?",MUSLIMS,V5,Inquisitive
2749,Muslims are not welcome here. They are not like us and they cannot coexist peacefully with us.,"There is no evidence that Islam is a problem in general, or in the UK specifically, and there is no evidence that Muslims are less able to coexist peacefully than non-Muslims.",MUSLIMS,V5,Confrontational
2750,"We have to stop Muslims coming here, they are not like us and we do not want them.","You cannot stop Muslims. It would have to be a state policy, but thank goodness it is very unlikely to have a ban based on religion in a democratic country.",MUSLIMS,V5,Confrontational
2752,Muslims have nothing to contribute to our society.,"I'm not sure where this statement comes from, but unfortunately I have heard it many times.",MUSLIMS,V5,Conversational
2753,"We cannot accept Muslims in our country. It is a good strategy to make them publicily uncomfortable by making fun of them out loud. Mock them, when you spot them.",Let's be realistic: how would you feel about being verbally harassed by a Muslim in public? Harassment is never a good idea. Acceptance is.,MUSLIMS,V5,Empathetic
2754,Muslims are just a problem in Europe. They are ruining our beautiful continent.,"Europe is the greatest diverse Union that has ever existed. There are no examples of it being 'ruined' by people that are different from others. Rather, that is Europe's strength.",MUSLIMS,V5,Conversational
2760,Muslims have no place in civilised Europe.,"Muslims are welcome here, as long as they observe the law and are respectful of other people.",MUSLIMS,V5,Empathetic
2764,We cannot accept thate Muslims are compatible with our way of life.,Muslims have contributed to our civilisation and way of life. They are part of our community and we should be grateful for the many contributions they make to our society.,MUSLIMS,V5,Empathetic
2766,"Islam is a complete and total false religion, it is a repressive ideology that stifles freedom of thought and religion.",Islam is not a religion of oppression and intolerance.,MUSLIMS,V5,Empathetic
2767,"Allahu Akbar, this means Death to all! And if there is one thing we don't really need it's more Muslims in the UK.","You're just misinterpreting the meaning of these words, please look it up. The UK does not need terrorists, but Muslims aren't terrorists, though.",MUSLIMS,V5,Conversational
2770,Negroes can learn to read and write but they remain black. You see it from their skin they are trained apes.,"There are many different ways that a person can be a part of society, and a lot of us value diversity. To suggest that blacks are somehow inferior simply because of the colour of our skin is simply untrue.",POC,V5,Conversational
2772,Blacks are just a bunch of animals that only exist to destroy good white people.,Aren't those people raised as white supremacists much more harmful to a cohesive society?,POC,V5,Empathetic
2778,"Women are basically childlike, they remain this way most of their lives.","Women have the right to choose their own partner, job, representatives and so on. They are much more similar to men than to children, don't you think so?",WOMEN,V5,Inquisitive
2779,Whores are not the real victims! Why should we care? We are the victim of feminism.,"This is just a lie: some media deliberately spreads this nonsense slut-shaming, with the result of only inciting hatred against the women who are raped.",WOMEN,V5,Conversational
2782,"Women are nothing but trouble human beings to any man, they must be submissive to him.","You are absolutely right: women are human beings, they are human beings worth caring for, respecting and trying to develop as people. Being ""trouble"" to men doesn't make them less human. In which way are they ""trouble""?",WOMEN,V5,Empathetic
2783,Women are subhuman.,"Women are human beings with full human rights and are equal before the law, especially in the eyes of the constitution.",WOMEN,V5,Confrontational
2800,"The only reason gays don't get treated like they should is because they're a minority, but they'd be better off in jail.","Homophobia is a problem all around the world. But it's especially serious in the US, in which the rate of homosexuality is very high. the question is: why promote homophobia?",LGBT+,V5,Inquisitive
2809,Gays are sick. They should be isolated.,"There is no evidence that homosexuality is a health problem. This myth started out as a form of discrimination based on sexual orientation and has since morphed into a weapon of hate, directed at the LGBT+ community.",LGBT+,V5,Confrontational
2810,Gays are perverts. The Bible teaches that homosexuals are to be despised.,What is wrong with being gay for you? I don't think it is wrong to love someone of your same sex.,LGBT+,V5,Inquisitive
2811,Gays are perverts. The Bible teaches that homosexuals are to be despised.,"Homosexuality is not a perversion, it is a form of love. How can you say that?",LGBT+,V5,Inquisitive
2823,Gays are sick. They should be isolated and confined.,The medical community agrees that homosexuality is not a disease. Maybe you should check the facts.,LGBT+,V5,Confrontational
2833,Faggots are a burden to society and must be stopped.,Does it matter what the sexual orientation of a person is? Do we really need to prevent people from living their own love story?,LGBT+,V5,Inquisitive
2838,We cannot allow people from different cultures to coexist in our country.,"This can lead to an increase in anti-social behaviour, discrimination, and violence. Do you really want that?",MIGRANTS,V5,Inquisitive
2841,We have become a nation of immigrants.,How can you be sure that we are a 'nation of immigrants'? Do you have any statistics on that?,MIGRANTS,V5,Inquisitive
2842,We need to purge foreigners from our countries.,This is unnecessary and we do not need such fear-mongering.,MIGRANTS,V5,Confrontational
2843,"There are migrants in England, we are not meant to have them.",What about refugees fleeing war and persecution? They have the right to be here.,MIGRANTS,V5,Inquisitive
2845,"We have become so arrogant, we allow people from other cultures to coexist with us.","To allow other cultures to coexist is a good thing, why should we stop people from getting to know each other?",MIGRANTS,V5,Inquisitive
2847,Migrants are a burden to the host country.,There are thousands of British people who are happy to have a neighbour coming from another country.,MIGRANTS,V5,Empathetic
2856,"Immigrants steal our jobs, and they should not be allowed to work.",Work is an integral part of an individual's contribution to society. A lack of work has a detrimental impact on the whole of it,MIGRANTS,V5,Confrontational
2859,We are being invaded by immigrants.,"The US was founded by immigrants, and in 2018 only the 13.7% of the US population was made up of immigrants, the rest being native born.",MIGRANTS,V5,Confrontational
2863,Islam is incompatible with Western culture.,"Atheists, agnostics, and humans of any other faith are compatible with our culture, and I applaud them for their diversity.",MUSLIMS,V5,Empathetic
2865,We cannot coexist with millions of Muslims in the West. They are incompatible with our way of life.,This is a comment against all muslims: they are part of our society and should have the right to live here.,MUSLIMS,V5,Confrontational
2871,Islam is a death cult and every Muslim is a potential terrorist.,There is no proof that all Muslims are terrorists.,MUSLIMS,V5,Confrontational
2878,"Islam is a Death Cult, it is a Ponzi Scheme and every Muslim should be banned from the UK.","Islam is about belief, not a scheme to make millions of pounds from Muslims.",MUSLIMS,V5,Confrontational
2879,All Muslim criminals should be deported: they are all terrorists!,Who decides who to deport? Do you? I think there are laws on that already.,MUSLIMS,V5,Inquisitive
2882,"Muslims in the UK are a burden on society, they are mostly poor and have no place in a modern democracy like the UK.","A 'burden' is one who poses a problem to the majority. With regard to Muslims, this is simly not the case.",MUSLIMS,V5,Confrontational
2883,"If Muslims in Britain were only like other Europeans, we could be proud.","To be perfectly honest, the British public is rather diverse, so I don't think your reasoning makes any sense.",MUSLIMS,V5,Conversational
2889,Muslims have nothing to contribute to our society.,Since when has Islam not contributed anything to our society? I would like to check your sources.,MUSLIMS,V5,Inquisitive
2896,"Muslims: you are a menace. If you love our country, you should leave it.",Many Muslims have helped building our country. They are our brothers and sisters.,MUSLIMS,V5,Empathetic
2911,Muslims have no place in civilised Europe.,"What do you mean by ""civilised Europe""? Don't you think civilisation involves inclusion and respect for others?",MUSLIMS,V5,Inquisitive
2912,"Islam is just an ideology and platform for the promotion of hatred, intolerance and violence.",The vast majority of Muslims worldwide do not share your intolerance. Words can also be very violent.,MUSLIMS,V5,Confrontational
2928,Muslims have no place in a modern European country.,Muslims have contributed so much to our country that their right to stay here should be recognised,MUSLIMS,V5,Empathetic
2932,Islam is a death cult.,"Islam is an ideology and religion that promotes unity. It is about love, not death.",MUSLIMS,V5,Empathetic
2936,Islam is a cancer spreading all around the world.,"Islam is a religion, not a cancer. If you are worried about Islam spreading, you should stop worrying because it won't cause any harm to you.",MUSLIMS,V5,Empathetic
2953,All Muslims are incompatible with any Western society.,Muslims have contributed greatly to our country. They are our brothers and sisters. How exactly are they 'incompatible'?,MUSLIMS,V5,Inquisitive
2955,Muslims have nothing to contribute to our society.,Muslims are part of our society. They are our brothers and sisters.,MUSLIMS,V5,Empathetic
2959,Muslims have no place in civilised Europe,The values of the EU aren't very different to those of a Muslim. How can you say that Muslims can't be part of the European community?,MUSLIMS,V5,Inquisitive
2960,Muslims are just an inconvenient group to be excluded from the European countries. They are a chronic threat.,"Muslims have contributed to our country, and they are part of the fabric of our society. To suggest they are a 'chronic threat' is just wrong.",MUSLIMS,V5,Empathetic
2967,Islam is not a peaceful religion.,The vast majority of Muslims in the world are peaceful. Do you have any facts suppporting your argument?,MUSLIMS,V5,Inquisitive
2969,Muslims are a problem in the UK. They are mainly poor and live in shithole neighbourhoods. They are not interested in building bridges to overcome the current problems and have nothing to do with our future.,"We need to build bridges of understanding, not of hatred. Your words don't seem to be very cooperative of that.",MUSLIMS,V5,Empathetic
2980,Black people don't have brains.,"The presence of a brain is not determined by skin colour. The fact that some people are born darker-skinned doesn't mean they aren't intelligent, rational human beings.",POC,V5,Empathetic
2985,"All women are subhuman, they are just there to serve men, and that is all.",All women are human beings. The problem arises when women are taught that they are subhuman.,WOMEN,V5,Confrontational
2987,"Feminism is just a bunch of mean, bitchy cuntwits trying to force their politically correct ideology on everyone else.",Feminism is about equality and empowerment of women. You can't deny that.,WOMEN,V5,Confrontational
2988,Feminism is an ideology and movement promoting the power of women and the contempt of the male.,"Feminism is an ideology and movement promoting empowerment of women. It is about equality, and not the degradation of men.",WOMEN,V5,Empathetic
2990,"All women are slaves, only men can be masters.",Women have always been involved in the economy and have contributed to society as a whole. I don't see this as a 'slave' behavior.,WOMEN,V5,Conversational
2991,"All women are slaves, only men can be masters.","The word 'slave' has nothing to do with what you think it does. Slavery was an institution created to oppress people of different races and religions, and is now banned in Europe. To suggest that it should exist because of a minority of men is an act of disrespect of human rights.",WOMEN,V5,Confrontational
2992,Women are little more than animals to be dominated by men.,I don't think it is a good idea to talk about women being little more than animals. Perhaps we should have a closer look at the reasons why some women are harmed by the violence they endure every day.,WOMEN,V5,Conversational
2994,Feminists are a bunch of cry babies. We should stop them from their disturbing whining.,"Feminists are human beings, with human rights. They are fighting for these rights all around the world. To think that you can change their minds suggests your misunderstanding of the importance of this fight.",WOMEN,V5,Confrontational
2995,Women should not be allowed to vote.,"If women are not allowed to vote, then women are not worthy of respect and equal rights, and this is in conflict with the principles of democracy.",WOMEN,V5,Conversational
2997,Feminism is a dangerous ideology that is oppressing men.,Feminism is not about oppressing men. It is about the rights of women to live their lives as they wish. It is about equality between the sexes.,WOMEN,V5,Confrontational
3013,Mentally disabled folks don't deserve to live.,Maybe it is time to stop focusing on killing people with mental disability (as in Aktion T4 Nazi program) and start talking about treatment options.,DISABLED,V6_sbf,Conversational
3014,"The Jews hate us because we are different. They are dirty, filthy people. They have no moral character.","They are not hating us, how many Jews do you know personally?",JEWS,V6_sbf,Inquisitive
3016,Jews want to rule the world and to be the only existing religion.,"The Jewish people have always been a diverse and inclusive group, also towards people of different faiths.",JEWS,V6_sbf,Empathetic
3028,A Jew does not need a country to live in. A Jew is a foreigner wherever he is,Every person has the right to be accepted and protected according to their worth and not to feel like a foreigner in their own country.,JEWS,V6_sbf,Empathetic
3030,Jews secretly run our government.,"Are you sure? It seems they are very much part of our society, and it seems strange for them to be the only ones running our government.",JEWS,V6_sbf,Conversational
3033,"I'm not anti-gay, but what is the point of loving someone who is different from you? They are just a bunch of whiners.","Equality does not entail preference. Let's face it: most of the time, people want to love and to be loved, and not to make a decision purely based on their sex.",LGBT+,V6_sbf,Conversational
3035,Gays are mentally ill. They should be isolated and confined.,"Talk to people, it will hopefully help you get over these irrational fears. If that fails, seek professional help.",LGBT+,V6_sbf,Conversational
3038,Trans people should not have the right to change their gender on identity card.,Since when? It's everyone's right to choose with what gender to identify with.,LGBT+,V6_sbf,Inquisitive
3042,Lesbians are subnormal women and they have no right to openly show their depravations.,Any sexual orientation is normal and fine.,LGBT+,V6_sbf,Empathetic
3044,Transgenders should not be allowed to act the part of women and should not be allowed to do anything about their penis.,Do you really think it is fair to restrict people's existence just because they are trans or because of their genitalia?,LGBT+,V6_sbf,Inquisitive
3045,"You are a disgusting piece of sh*t, probably raised by gay, retarded faggots.",Hate can not be a reaction to someone's sexuality. The fact that someone may be gay is their own business and does not mean that they are disgusting.,LGBT+,V6_sbf,Confrontational
3048,Allowing transgenders to use the toilet is a man's business,"People are free to use whatever bathroom they want to use, and this is their business as well.",LGBT+,V6_sbf,Confrontational
3050,Faggots: you can buy your partner toys but you can't have sex with them.,"Sex is not only between a man and a woman, and if we're being honest, it's not heterosexual's place to decide how others have sex. This attitude only perpetuates violence against queer people and makes them victims.",LGBT+,V6_sbf,Confrontational
3051,Lesbian women hate men and they are a bitches for this reason.,People can and should choose their own partners.,LGBT+,V6_sbf,Confrontational
3053,There are so few faggots and lesbians that they should all be erased.,Same sex relationships do not need to be practiced by the majority of people. They just need to be accepted.,LGBT+,V6_sbf,Empathetic
3057,We cannot accept all homosexuals because they are a threat to society.,"What you show is an attitude of not accepting someone because of who they are. It doesn't matter who you are, you are loved by your whole being, whether you like men or women.",LGBT+,V6_sbf,Empathetic
3062,Gay men get all sort of diseases. They are dangerous.,"Diseases can be found in all people, regardless of sexual orientation. You should know better before randomly deducing someone's medical history.",LGBT+,V6_sbf,Conversational
3065,immigrants don't belong here: they are the source of all our problems.,You can't blame immigrants for all the problems we have in this world.,MIGRANTS,V6_sbf,Confrontational
3070,Foreigners are literally flooding into our country. Their every action must be monitored and recorded by the police.,"We are fortunate to live in a country where the vast majority of people have open hearts and minds. Immigrants are part of our country, as opposed to what you say.",MIGRANTS,V6_sbf,Empathetic
3072,There is an invasion going on within our borders and we are willing to allow them to continue to abuse their newfound power.,"It is not true that we are being ""invaded"". We should just be a little more tolerant and accepting.",MIGRANTS,V6_sbf,Conversational
3073,All immigrants are murderers,"How can you say that about them all? You cannot know the actions of millions of people and be sure that there is a link between immigration and violence. I think it is more a question of statistics, which I do not see.",MIGRANTS,V6_sbf,Inquisitive
3074,"Immigrants are a problem, they are bringing disease and sickness to our country.",Diseases can be prevented by taking proper care of the sick person. Immigrants do not pose a health threat to the general public.,MIGRANTS,V6_sbf,Confrontational
3077,Immigrants are a nuisance.,"This is not true, we should make immigrants feel welcome. They are our brothers and sisters.",MIGRANTS,V6_sbf,Confrontational
3085,Migrants have no place in civilised Europe,"Migrants are welcome here, regardless of their origin.",MIGRANTS,V6_sbf,Empathetic
3088,Migrants steal our jobs,Many migrant workers do jobs that we do not want to do anymore and contribute much to our economy.,MIGRANTS,V6_sbf,Conversational
3094,Migrants are a threat and we should expel them all.,We have to stop being afraid and opening our hearts to other cultures. We cannot allow prejudice to define us.,MIGRANTS,V6_sbf,Empathetic
3099,"We mustn't forget that these people came here to kill, commit crimes and acts of terrorism.",It is a pity that in the modern world everyone is so concerned about migrants that we still need to fearmonger about their alleged crimes and terrorist acts instead of gettin on and solving the underlying problems.,MIGRANTS,V6_sbf,Empathetic
3104,Muslims have no place in civilised Europe.,Do you think Muslims are worse than the criminals who commit crimes just because of their religion?,MUSLIMS,V6_sbf,Inquisitive
3105,"This is not about immigration, this is about Jihad and Sharia Law. All muslims are a danger to us and must be deleted.","You know, the fact that this is a concern to you doesn't mean that you have to erase all Muslims and their religion in order to feel good.",MUSLIMS,V6_sbf,Conversational
3111,Muslims have no place in civilised Europe. They are incompatible with modern culture and should be banned.,Do you think it is constructive to target a group that has contributed so much to our society?,MUSLIMS,V6_sbf,Inquisitive
3143,"I am not a Muslim, I am an American citizen. I am not a member of any mosque or a religious group. I am offended by those muslisms religious symbols.",Muslims have given so much to this country. They are proud of their culture and religion. No one should be offended by religious symbols.,MUSLIMS,V6_sbf,Confrontational
3149,Muslim folks are scary: they want to kill us all.,"This is just a fearmongering narrative being used to try to discredit Islam and Muslims. I hate to think that my Christian or Jewish relatives might be a target of hate, the same would hold if they were Muslim.",MUSLIMS,V6_sbf,Confrontational
3152,Muslims are filthy animals and should be put in a cage.,"All people are born equal, regardless of their religion. This is what makes us all human: empathy and compassion towards others.",MUSLIMS,V6_sbf,Empathetic
3153,Muslims are not welcome here! They have nothing to contribute to our society!,The Muslims have been part of this country since its inception. They have contributed so much to our society. They are our brothers and sisters. They are our neighbours. They are our friends. To deny them this freedom is to deny humanity.,MUSLIMS,V6_sbf,Empathetic
